編號,資料來源,資料名稱,我們的建議分類,主要欄位,分類及編號,資料集描述,主要欄位說明
1,臺北市政府工務局新建工程處,臺北市今日施工資訊,12,"核備文號(Ac_no),期數(St_no),序號(sno),通報類別(AppMode),X座標(X),Y座標(Y),通報時間(AppTime),施工單位(App_Name),行政區(C_Name),施工位置(Addr),核准施工起日(Cb_Da),核准施工迄日(Ce_Da),施工時段(Co_Ti),監工(Tc_Ma),監工電話(Tc_Tl),廠商現場施工人員(Tc_Ma3),現場施工人員手機(Tc_Tl3),挖掘目的(NPurp),逾時原因(DType)
",生活安全及品質,道路挖掘即時施工通報資訊。,"核備文號(Ac_no),期數(St_no),序號(sno),通報類別(AppMode),X座標(X),Y座標(Y),通報時間(AppTime),施工單位(App_Name),行政區(C_Name),施工位置(Addr),核准施工起日(Cb_Da),核准施工迄日(Ce_Da),施工時段(Co_Ti),監工(Tc_Ma),監工電話(Tc_Tl),廠商現場施工人員(Tc_Ma3),現場施工人員手機(Tc_Tl3),挖掘目的(NPurp),逾時原因(DType)
"
2,臺北翡翠水庫管理局,翡翠水庫水情資料,5,時間、水庫水位、有效蓄水量、水庫蓄水百分比、當日累積翡翠雨量站、當日累積十三股雨量站、當日累積九芎根雨量站、當日累積坪林雨量站、當日累積碧湖雨量站、當日累積太平雨量站、以及當日累積集水區加權平均降雨量,公共資訊,每小時水庫水位、有效蓄水量、水庫蓄水百分比，以及當日累積翡翠雨量站、十三股雨量站、九芎根雨量站、坪林雨量站、碧湖雨量站、太平雨量站、以及集水區加權平均降雨量。,時間、水庫水位、有效蓄水量、水庫蓄水百分比、當日累積翡翠雨量站、當日累積十三股雨量站、當日累積九芎根雨量站、當日累積坪林雨量站、當日累積碧湖雨量站、當日累積太平雨量站、以及當日累積集水區加權平均降雨量
3,臺北市政府觀光傳播局,臺北市臺北旅遊網-住宿資料(英文),4,住宿代碼、住宿名稱、內容、地址、景點圖片、經緯度,休閒旅遊,臺北旅遊網-住宿資料,住宿代碼、住宿名稱、內容、地址、景點圖片、經緯度
4,臺北市政府觀光傳播局,臺北市臺北旅遊網-住宿資料(中文),4,住宿代碼、住宿名稱、內容、地址、景點圖片、經緯度,休閒旅遊,臺北旅遊網-住宿資料,住宿代碼、住宿名稱、內容、地址、景點圖片、經緯度
5,臺北市政府資訊局,臺北市公眾區免費無線上網熱點資料(新版),16,熱點名稱、類別、地址、熱點類別、經度、緯度,交通及通訊,臺北市臺北公眾區免費無線上網(Taipei Free)熱點資料,熱點名稱、類別、地址、熱點類別、經度、緯度
6,臺北市政府資訊局,今日氣象資訊,16,今日氣象資訊主要欄位說明, ,今日氣象資訊資料集描述,今日氣象資訊主要欄位說明
7,臺北市政府資訊局,一週氣象資訊,16,一週氣象資訊主要欄位說明, ,一週氣象資訊資料集描述,一週氣象資訊主要欄位說明
8,臺北市政府環境保護局,臺北市垃圾資源回收、廚餘回收限時收受點,16,"臺北市垃圾資源回收、廚餘回收限時收受點：Region(行政區)、Branch(限時指定收受點)、Phone(電話)、Address(地址)、Memo(備註)、Lng(經度)、Lat(緯度)
臺北市週三、週日廚餘專用限時收受點：Region(行政區)、Branch(分隊別)、Address(限時收受點地址)、Memo(備註)、Lng(經度)、Lat(緯度)",公共資訊,臺北市垃圾資源回收、廚餘回收限時收受點，週三、週日廚餘專用限時收受點,"臺北市垃圾資源回收、廚餘回收限時收受點：Region(行政區)、Branch(限時指定收受點)、Phone(電話)、Address(地址)、Memo(備註)、Lng(經度)、Lat(緯度)
臺北市週三、週日廚餘專用限時收受點：Region(行政區)、Branch(分隊別)、Address(限時收受點地址)、Memo(備註)、Lng(經度)、Lat(緯度)"
9,臺北市公共運輸處,臺北市公車站牌位置圖,101,站牌編號、站牌中文名稱、座標(TWD97),公共資訊,臺北市聯營公車站牌編號、中文名稱及位置,站牌編號、站牌中文名稱、座標(TWD97)
10,臺北市公共運輸處,臺北市公車路線圖,101,路線編號、路線名稱,公共資訊,臺北市聯營公車路線圖,路線編號、路線名稱
11,臺北市政府財政局,臺北市政府105年度歲入預算執行情形,12,"科目、全年度預算數、本月分配數、本月實收數、本月分配預算與實收比較、分配預算累計數、實收累計數、分配預算累計與實收累計比較、實收累計數占年度預算%、實收累計數占分配預算%。
",公共資訊,"揭露臺北市歲入預算執行狀況
","科目、全年度預算數、本月分配數、本月實收數、本月分配預算與實收比較、分配預算累計數、實收累計數、分配預算累計與實收累計比較、實收累計數占年度預算%、實收累計數占分配預算%。
"
12,臺北市政府社會局,臺北市嬰幼兒照顧服務-兒童托育資源中心,93,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,公共資訊,嬰幼兒照顧服務-兒童托育資源中心,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
13,臺北市政府社會局,臺北市嬰幼兒照顧服務-臺北市私立托嬰中心,93,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,公共資訊,嬰幼兒照顧服務-臺北市私立托嬰中心,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
